 ,Direction (Â°),InCos,InCos-fit
1,0.000000000,0.000000206,0.000149040
2,1.000000000,0.000000701,0.000149040
3,2.000000000,0.000000069,0.000149040
4,3.000000000,0.000000158,0.000149040
5,4.000000000,0.000000245,0.000149040
6,5.000000000,0.000000205,0.000149040
7,6.000000000,0.000000370,0.000149040
8,7.000000000,0.000000372,0.000149040
9,8.000000000,0.000000364,0.000149040
10,9.000000000,0.000000083,0.000149040
11,10.000000000,0.000000111,0.000149040
12,11.000000000,0.000000539,0.000149040
13,12.000000000,0.000000545,0.000149040
14,13.000000000,0.000000238,0.000149040
15,14.000000000,0.000000107,0.000149040
16,15.000000000,0.000000128,0.000149040
17,16.000000000,0.000000135,0.000149040
18,17.000000000,0.000000265,0.000149040
19,18.000000000,0.000000400,0.000149040
20,19.000000000,0.000000299,0.000149040
21,20.000000000,0.000000469,0.000149041
22,21.000000000,0.000000776,0.000149077
23,22.000000000,0.000001617,0.000150072
24,23.000000000,0.000005422,0.000168565
25,24.000000000,0.000032353,0.000397157
26,25.000000000,0.000679566,0.002266493
27,26.000000000,0.024562856,0.012284702
28,27.000000000,0.039626261,0.046858490
29,28.000000000,0.093625246,0.120885263
30,29.000000000,0.250170633,0.209734895
31,30.000000000,0.217843841,0.244479665
32,31.000000000,0.210515303,0.191436013
33,32.000000000,0.058597498,0.100722742
34,33.000000000,0.095847308,0.035661032
35,34.000000000,0.004164034,0.008569914
36,35.000000000,0.004171621,0.001490047
37,36.000000000,0.000075129,0.000292456
38,37.000000000,0.000013543,0.000159341
39,38.000000000,0.000009318,0.000149537
40,39.000000000,0.000000658,0.000149056
41,40.000000000,0.000002284,0.000149041
42,41.000000000,0.000000413,0.000149040
43,42.000000000,0.000000718,0.000149040
44,43.000000000,0.000000594,0.000149040
45,44.000000000,0.000000286,0.000149040
46,45.000000000,0.000000360,0.000149040
47,46.000000000,0.000000303,0.000149040
48,47.000000000,0.000000304,0.000149040
49,48.000000000,0.000000312,0.000149040
50,49.000000000,0.000000521,0.000149040
51,50.000000000,0.000000288,0.000149040
52,51.000000000,0.000000650,0.000149040
53,52.000000000,0.000000164,0.000149040
54,53.000000000,0.000000210,0.000149040
55,54.000000000,0.000000345,0.000149040
56,55.000000000,0.000000395,0.000149040
57,56.000000000,0.000000287,0.000149040
58,57.000000000,0.000000565,0.000149040
59,58.000000000,0.000000154,0.000149040
60,59.000000000,0.000000124,0.000149040
61,60.000000000,0.000000563,0.000149040
62,61.000000000,0.000000275,0.000149040
63,62.000000000,0.000000114,0.000149040
64,63.000000000,0.000000250,0.000149040
65,64.000000000,0.000000152,0.000149040
66,65.000000000,0.000000306,0.000149040
67,66.000000000,0.000000504,0.000149040
68,67.000000000,0.000000350,0.000149040
69,68.000000000,0.000000821,0.000149040
70,69.000000000,0.000000485,0.000149040
71,70.000000000,0.000000259,0.000149040
72,71.000000000,0.000000223,0.000149040
73,72.000000000,0.000000381,0.000149040
74,73.000000000,0.000000221,0.000149040
75,74.000000000,0.000000014,0.000149040
76,75.000000000,0.000000129,0.000149040
77,76.000000000,0.000000479,0.000149040
78,77.000000000,0.000000436,0.000149040
79,78.000000000,0.000000193,0.000149040
80,79.000000000,0.000000323,0.000149040
81,80.000000000,0.000000247,0.000149040
82,81.000000000,0.000000202,0.000149040
83,82.000000000,0.000000682,0.000149040
84,83.000000000,0.000000519,0.000149040
85,84.000000000,0.000000137,0.000149040
86,85.000000000,0.000001093,0.000149040
87,86.000000000,0.000000568,0.000149040
88,87.000000000,0.000000248,0.000149040
89,88.000000000,0.000000136,0.000149040
90,89.000000000,0.000000126,0.000149040
91,90.000000000,0.000000401,0.000149040
92,91.000000000,0.000000171,0.000149040
93,92.000000000,0.000000390,0.000149040
94,93.000000000,0.000000233,0.000149040
95,94.000000000,0.000000453,0.000149040
96,95.000000000,0.000000329,0.000149040
97,96.000000000,0.000000367,0.000149040
98,97.000000000,0.000000340,0.000149040
99,98.000000000,0.000000480,0.000149040
100,99.000000000,0.000000333,0.000149040
101,100.000000000,0.000000330,0.000149040
102,101.000000000,0.000000112,0.000149040
103,102.000000000,0.000000153,0.000149040
104,103.000000000,0.000000735,0.000149040
105,104.000000000,0.000000460,0.000149040
106,105.000000000,0.000000564,0.000149040
107,106.000000000,0.000000421,0.000149040
108,107.000000000,0.000000155,0.000149040
109,108.000000000,0.000000111,0.000149040
110,109.000000000,0.000000353,0.000149040
111,110.000000000,0.000000628,0.000149040
112,111.000000000,0.000000309,0.000149040
113,112.000000000,0.000000144,0.000149040
114,113.000000000,0.000000125,0.000149040
115,114.000000000,0.000000968,0.000149040
116,115.000000000,0.000000638,0.000149040
117,116.000000000,0.000000216,0.000149040
118,117.000000000,0.000000487,0.000149040
119,118.000000000,0.000000633,0.000149040
120,119.000000000,0.000000070,0.000149040
121,120.000000000,0.000000235,0.000149040
122,121.000000000,0.000000276,0.000149040
123,122.000000000,0.000000445,0.000149040
124,123.000000000,0.000000420,0.000149040
125,124.000000000,0.000000259,0.000149040
126,125.000000000,0.000000271,0.000149040
127,126.000000000,0.000000447,0.000149040
128,127.000000000,0.000000404,0.000149040
129,128.000000000,0.000000508,0.000149040
130,129.000000000,0.000000438,0.000149040
131,130.000000000,0.000000530,0.000149040
132,131.000000000,0.000000447,0.000149040
133,132.000000000,0.000000628,0.000149040
134,133.000000000,0.000000409,0.000149040
135,134.000000000,0.000000530,0.000149040
136,135.000000000,0.000000347,0.000149040
137,136.000000000,0.000000125,0.000149040
138,137.000000000,0.000000087,0.000149040
139,138.000000000,0.000000093,0.000149040
140,139.000000000,0.000000085,0.000149040
141,140.000000000,0.000000116,0.000149040
142,141.000000000,0.000000156,0.000149040
143,142.000000000,0.000000154,0.000149040
144,143.000000000,0.000000492,0.000149040
145,144.000000000,0.000000243,0.000149040
146,145.000000000,0.000000413,0.000149040
147,146.000000000,0.000000733,0.000149040
148,147.000000000,0.000000321,0.000149040
149,148.000000000,0.000000472,0.000149040
150,149.000000000,0.000000842,0.000149040
151,150.000000000,0.000000397,0.000149040
152,151.000000000,0.000000325,0.000149040
153,152.000000000,0.000000243,0.000149040
154,153.000000000,0.000000130,0.000149040
155,154.000000000,0.000000141,0.000149040
156,155.000000000,0.000000527,0.000149040
157,156.000000000,0.000000681,0.000149040
158,157.000000000,0.000000413,0.000149040
159,158.000000000,0.000000174,0.000149040
160,159.000000000,0.000000315,0.000149040
161,160.000000000,0.000000282,0.000149040
162,161.000000000,0.000000169,0.000149040
163,162.000000000,0.000000120,0.000149040
164,163.000000000,0.000000197,0.000149040
165,164.000000000,0.000000109,0.000149040
166,165.000000000,0.000000213,0.000149040
167,166.000000000,0.000000263,0.000149040
168,167.000000000,0.000000246,0.000149040
169,168.000000000,0.000000137,0.000149040
170,169.000000000,0.000000553,0.000149040
171,170.000000000,0.000000751,0.000149040
172,171.000000000,0.000000164,0.000149040
173,172.000000000,0.000000572,0.000149040
174,173.000000000,0.000000424,0.000149040
175,174.000000000,0.000000097,0.000149040
176,175.000000000,0.000000103,0.000149040
177,176.000000000,0.000000821,0.000149040
178,177.000000000,0.000000452,0.000149040
179,178.000000000,0.000000077,0.000149040
180,179.000000000,0.000000165,0.000149040
