Direction (Â°),MAX_20X_Airyscan_6,MAX_20X_Airyscan_6-fit
-90.000000000,0.009532446,0.007014462
-89.000000000,0.003692207,0.007419790
-88.000000000,0.005591536,0.007848634
-87.000000000,0.007120797,0.008298362
-86.000000000,0.007629147,0.008765666
-85.000000000,0.007787594,0.009246580
-84.000000000,0.008406556,0.009736500
-83.000000000,0.010558983,0.010230249
-82.000000000,0.010148491,0.010722143
-81.000000000,0.010278850,0.011206091
-80.000000000,0.010597044,0.011675717
-79.000000000,0.012718134,0.012124486
-78.000000000,0.014411853,0.012545855
-77.000000000,0.017847010,0.012933432
-76.000000000,0.019622158,0.013281129
-75.000000000,0.018129724,0.013583328
-74.000000000,0.016469632,0.013835024
-73.000000000,0.015123405,0.014031971
-72.000000000,0.015375228,0.014170793
-71.000000000,0.015355609,0.014249085
-70.000000000,0.013533310,0.014265482
-69.000000000,0.012027478,0.014219696
-68.000000000,0.011011753,0.014112529
-67.000000000,0.011041685,0.013945843
-66.000000000,0.012480152,0.013722514
-65.000000000,0.012310074,0.013446343
-64.000000000,0.010943110,0.013121952
-63.000000000,0.012336287,0.012754653
-62.000000000,0.013254197,0.012350306
-61.000000000,0.011330354,0.011915162
-60.000000000,0.010357435,0.011455706
-59.000000000,0.009352417,0.010978495
-58.000000000,0.008818273,0.010490007
-57.000000000,0.007985594,0.009996499
-56.000000000,0.007901871,0.009503882
-55.000000000,0.008697590,0.009017612
-54.000000000,0.009472915,0.008542602
-53.000000000,0.009575228,0.008083159
-52.000000000,0.008019416,0.007642942
-51.000000000,0.006709763,0.007224938
-50.000000000,0.006537875,0.006831463
-49.000000000,0.007407113,0.006464183
-48.000000000,0.007207635,0.006124146
-47.000000000,0.007538700,0.005811827
-46.000000000,0.006723997,0.005527192
-45.000000000,0.008545361,0.005269757
-44.000000000,0.006500967,0.005038658
-43.000000000,0.006381033,0.004832722
-42.000000000,0.005642598,0.004650533
-41.000000000,0.005132726,0.004490502
-40.000000000,0.005646305,0.004350922
-39.000000000,0.006332404,0.004230027
-38.000000000,0.006828974,0.004126035
-37.000000000,0.007382912,0.004037194
-36.000000000,0.007808884,0.003961808
-35.000000000,0.007525812,0.003898269
-34.000000000,0.007244672,0.003845071
-33.000000000,0.006250474,0.003800825
-32.000000000,0.005505845,0.003764268
-31.000000000,0.004848234,0.003734259
-30.000000000,0.003871413,0.003709786
-29.000000000,0.003169993,0.003689956
-28.000000000,0.003141246,0.003673993
-27.000000000,0.003420201,0.003661223
-26.000000000,0.003362156,0.003651074
-25.000000000,0.003390870,0.003643059
-24.000000000,0.003779575,0.003636768
-23.000000000,0.004370925,0.003631863
-22.000000000,0.004595544,0.003628062
-21.000000000,0.004333632,0.003625135
-20.000000000,0.004119867,0.003622896
-19.000000000,0.003792173,0.003621192
-18.000000000,0.003617521,0.003619905
-17.000000000,0.003611649,0.003618938
-16.000000000,0.003808341,0.003618216
-15.000000000,0.004371820,0.003617681
-14.000000000,0.004751873,0.003617286
-13.000000000,0.004820600,0.003616997
-12.000000000,0.004224179,0.003616787
-11.000000000,0.003254169,0.003616634
-10.000000000,0.003011432,0.003616525
-9.000000000,0.002639528,0.003616446
-8.000000000,0.002751117,0.003616391
-7.000000000,0.002407464,0.003616351
-6.000000000,0.002216288,0.003616324
-5.000000000,0.003094495,0.003616304
-4.000000000,0.003155176,0.003616291
-3.000000000,0.003658041,0.003616282
-2.000000000,0.002834933,0.003616276
-1.000000000,0.002105099,0.003616271
1.272E-13,0.004280640,0.003616268
1.000000000,0.001868916,0.003616266
2.000000000,0.002218204,0.003616265
3.000000000,0.002615574,0.003616264
4.000000000,0.003114345,0.003616264
5.000000000,0.003340781,0.003616263
6.000000000,0.003700176,0.003616263
7.000000000,0.003894150,0.003616263
8.000000000,0.003591073,0.003616263
9.000000000,0.003055981,0.003616263
10.000000000,0.002814978,0.003616263
11.000000000,0.002726378,0.003616263
12.000000000,0.003297778,0.003616263
13.000000000,0.003445299,0.003616263
14.000000000,0.003673394,0.003616263
15.000000000,0.003497663,0.003616263
16.000000000,0.003423588,0.003616263
17.000000000,0.003613403,0.003616263
18.000000000,0.003628618,0.003616263
19.000000000,0.003347775,0.003616263
20.000000000,0.003046721,0.003616263
21.000000000,0.003091410,0.003616263
22.000000000,0.003429692,0.003616263
23.000000000,0.003792161,0.003616263
24.000000000,0.003826244,0.003616263
25.000000000,0.003332345,0.003616263
26.000000000,0.002527192,0.003616263
27.000000000,0.002332415,0.003616263
28.000000000,0.002650232,0.003616263
29.000000000,0.002939410,0.003616263
30.000000000,0.002655557,0.003616263
31.000000000,0.002431632,0.003616263
32.000000000,0.002652953,0.003616263
33.000000000,0.002722590,0.003616263
34.000000000,0.002860194,0.003616263
35.000000000,0.002793110,0.003616263
36.000000000,0.002825797,0.003616263
37.000000000,0.003049041,0.003616263
38.000000000,0.003229981,0.003616263
39.000000000,0.003492473,0.003616263
40.000000000,0.003777825,0.003616263
41.000000000,0.003842561,0.003616263
42.000000000,0.003330391,0.003616263
43.000000000,0.002455954,0.003616263
44.000000000,0.002432707,0.003616263
45.000000000,0.004401187,0.003616263
46.000000000,0.002302870,0.003616263
47.000000000,0.002340900,0.003616263
48.000000000,0.003052097,0.003616263
49.000000000,0.003112079,0.003616263
50.000000000,0.003159528,0.003616263
51.000000000,0.003337215,0.003616263
52.000000000,0.003412932,0.003616263
53.000000000,0.003993917,0.003616263
54.000000000,0.003648913,0.003616263
55.000000000,0.003842859,0.003616263
56.000000000,0.003914418,0.003616263
57.000000000,0.003945283,0.003616263
58.000000000,0.003864059,0.003616263
59.000000000,0.003998410,0.003616263
60.000000000,0.003319123,0.003616263
61.000000000,0.003030045,0.003616263
62.000000000,0.003105528,0.003616263
63.000000000,0.003769146,0.003616263
64.000000000,0.003573616,0.003616263
65.000000000,0.002975497,0.003616263
66.000000000,0.002670699,0.003616263
67.000000000,0.002884171,0.003616263
68.000000000,0.003254889,0.003616263
69.000000000,0.003261093,0.003616263
70.000000000,0.003936523,0.003616263
71.000000000,0.005057550,0.003616263
72.000000000,0.005845784,0.003616263
73.000000000,0.005942271,0.003616263
74.000000000,0.005743945,0.003616263
75.000000000,0.005192603,0.003616263
76.000000000,0.004868545,0.003616263
77.000000000,0.004311838,0.003616263
78.000000000,0.004477686,0.003616263
79.000000000,0.004831454,0.003616263
80.000000000,0.004462034,0.003616263
81.000000000,0.004487347,0.003616263
82.000000000,0.004254515,0.003616263
83.000000000,0.004692740,0.003616263
84.000000000,0.004579903,0.003616263
85.000000000,0.003262099,0.003616263
86.000000000,0.004588639,0.003616263
87.000000000,0.004117931,0.003616263
88.000000000,0.004792457,0.003616263
89.000000000,0.003485214,0.003616263
